"City","Restaurant","Food","Decor","Service","Cost"
"London","Osteria_dell'Arancio",23,22,23,78
"London","Passione",23,15,20,92
"London","Pellicano",18,17,18,72
"London","Pizza_Express",16,13,15,34
"London","Quirinale",26,20,25,92
"London","Quo_Vadis",21,21,20,84
"London","Riccardo's",16,10,14,66
"London","River_Cafe",26,21,24,120
"London","Rosmarino",20,18,17,88
"London","Sale_e_Pepe",23,17,22,78
"London","San_Lorenzo",20,18,18,104
"London","Santini",2,19,22,104
"London","Sardo",21,14,19,76
"London","Sartoria",20,21,19,94
"London","Scalini",20,15,18,100
"London","Signor_Sassi",23,18,23,82
"London","Spago",21,13,18,74
"London","Spiga",17,13,14,54
"London","Spighetta",17,10,17,48
"London","Strada",18,14,16,42
"London","Timo",23,16,22,86
"London","Toto's",23,20,23,102
"London","Vasco",24,16,22,74
"London","Verbanella",19,16,21,80
"London","Volt",17,20,15,88
"London","Zafferano",25,20,23,112
"London","Ziani",22,17,21,82
"London","Zilli_Fish",23,15,19,72
"London","Zizzi",15,15,14,42
"NY","Angelo's",23,15,19,43
"NY","Da_Nico",20,17,18,35
"NY","Ferrara",22,15,15,18
"NY","Grotta_Azzurra",17,16,16,47
"NY","Il_Cortile",23,20,19,50
"NY","Il_Fornaio",23,14,19,30
"NY","Il_Palazzo",21,17,20,42
"NY","La_Mela",18,11,17,35
"NY","Pellegrino's",22,17,21,40
"NY","Positano",20,14,18,36
"NY","Sal_Anthony's",18,17,18,38
"NY","Taormina",22,19,20,42
"NY","Umberto's",19,14,17,35
"NY","Vincent's",21,13,18,33
"NY","'ino",24,14,18,25
"NY","Arturo's_Pizzeria",21,12,16,24
"NY","Babbo",27,23,25,74
"NY","Bar_Pitti",22,14,16,36
"NY","Bellavitae",22,18,19,49
"NY","Borgo_Antico",17,16,19,40
"NY","Da_Silvano",20,15,17,60
"NY","Ennio_&_Michael",19,16,21,44
"NY","Gonzo",22,17,18,41
"NY","Gradisca",20,17,17,41
"NY","Gusto",21,20,18,52
"NY","Il_Cantinori",22,21,22,59
"NY","Il_Mulino",27,18,23,83
"NY","Joe's_Pizza",23,5,12,8
"NY","John's_Pizzeria",22,12,15,21
"NY","La_Lanterna_di_Vittorio",19,20,16,27
"NY","Lupa",25,18,21,50
"NY","Marinella",23,16,23,41
"NY","Maurizio_Trattoria",20,16,19,46
"NY","Minetta_Tavern",18,16,17,41
"NY","Monte's",19,14,19,37
"NY","Osso_Buco",17,14,17,35
"NY","Otto",21,19,19,37
"NY","Patsy's_Pizzeria",20,12,15,23
"NY","Piadina",21,18,16,31
"NY","Piola",19,15,19,24
"NY","Po",25,16,21,47
"NY","Risotteria",21,10,18,23
"NY","Rocco",19,14,18,38
"NY","Trattoria_Pesce_&_Pasta",18,13,18,31
"NY","Uno_Chicago_Grill",14,12,13,22
"NY","Villa_Mosconi",19,15,21,44
